,Type,"City,Town,Ward,Village",Area,Nearest stationFName,Nearest stationFDistance(minute),Layout,Area(m^2),Year of construction,Building structure,Use,City Planning,Maximus Building Coverage Ratio(%),Maximus Floor-area Ratio(%),Transaction period,Renovation,Transaction-price(total)
4801,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Ikebukuro,2,1K,20,1978,SRC,House,Commercial Zone,80.0,800.0,2nd quarter 2010,Not yet,8500000
4802,Residential Land(Land Only),Toshima Ward,Nishiikebukuro,Ikebukuro,9,Unknown,1400,2002.0,Unknown,Other,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2010,Unknown,1100000000
4803,Residential Land(Land and Building),Toshima Ward,Nishiikebukuro,Ikebukuro,9,Unknown,75,2010,S,House,Category I Residential Zone,80.0,300.0,1st quarter 2010,Unknown,64000000
4804,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Ikebukuro,6,1K,45,2004,RC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Not yet,35000000
4805,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Ikebukuro,6,2LDK,90,2004,RC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Done,77000000
4806,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Ikebukuro,14,1LDK,40,2004,RC,House,Neighborhood Commercial Zone,80.0,300.0,1st quarter 2010,Not yet,13000000
4807,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Ikebukuro,4,1DK,30,2003,SRC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Not yet,26000000
4808,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Ikebukuro,8,3LDK,65,1976,SRC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Not yet,21000000
4809,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Ikebukuro,8,3LDK,70,1976,SRC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Not yet,26000000
4810,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Kanamecho,2,1K,20,2007,RC,House,Commercial Zone,80.0,400.0,4th quarter 2010,Done,16000000
4811,Residential Land(Land and Building),Toshima Ward,Nishiikebukuro,Kanamecho,4,Unknown,35,2002.0,W,House,Category I Residential Zone,60.0,300.0,3rd quarter 2010,Unknown,5900000
4812,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Kanamecho,3,2LDK,45,1995,SRC,House,Commercial Zone,80.0,600.0,3rd quarter 2010,Not yet,30000000
4813,Residential Land(Land Only),Toshima Ward,Nishiikebukuro,Kanamecho,3,Unknown,60,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2010,Unknown,37000000
4814,Residential Land(Land Only),Toshima Ward,Nishiikebukuro,Kanamecho,2,Unknown,140,2002.0,Unknown,Other,Commercial Zone,80.0,600.0,2nd quarter 2010,Unknown,150000000
4815,Residential Land(Land and Building),Toshima Ward,Nishiikebukuro,Kanamecho,4,Unknown,75,2010,W,House,Category I Residential Zone,60.0,300.0,1st quarter 2010,Unknown,51000000
4816,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Kanamecho,3,1K,20,1995,SRC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Not yet,13000000
4817,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Kanamecho,5,1K,15,1995,SRC,House,Category I Residential Zone,60.0,300.0,1st quarter 2010,Not yet,15000000
4818,Residential Land(Land Only),Toshima Ward,Nishiikebukuro,Shiinamachi,5,Unknown,155,2002.0,Unknown,Other,Neighborhood Commercial Zone,80.0,300.0,4th quarter 2010,Unknown,78000000
4819,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Shiinamachi,3,1K,15,1988,SRC,House,Commercial Zone,80.0,400.0,4th quarter 2010,Done,6700000
4820,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Shiinamachi,1,1K,15,1988,SRC,House,Commercial Zone,80.0,400.0,4th quarter 2010,Done,7900000
4821,Residential Land(Land and Building),Toshima Ward,Nishiikebukuro,Shiinamachi,4,Unknown,165,1992,S,Housing Complex,Category I Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2010,Unknown,100000000
4822,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Shiinamachi,1,1K,15,1988,SRC,House,Commercial Zone,80.0,400.0,3rd quarter 2010,Not yet,7500000
4823,Residential Land(Land and Building),Toshima Ward,Nishiikebukuro,Shiinamachi,4,Unknown,60,2010,W,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2010,Unknown,53000000
4824,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Shiinamachi,1,1K,15,1988,SRC,House,Commercial Zone,80.0,400.0,2nd quarter 2010,Done,7000000
4825,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Shiinamachi,2,1R,15,1986,RC,House,Commercial Zone,80.0,400.0,2nd quarter 2010,Not yet,4500000
4826,"Pre-owned Condominiums, etc.",Toshima Ward,Nishiikebukuro,Shiinamachi,4,1K,20,1998,SRC,House,Commercial Zone,80.0,400.0,2nd quarter 2010,Not yet,16000000
4827,Residential Land(Land and Building),Toshima Ward,Nishiikebukuro,Shiinamachi,7,Unknown,45,2002,S,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2010,Unknown,29000000
4828,Residential Land(Land Only),Toshima Ward,Nishiikebukuro,Shiinamachi,4,Unknown,65,2002.0,Unknown,Other,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2010,Unknown,39000000
4829,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Otsuka (Tokyo),14,1K,20,1999,RC,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2010,Not yet,9900000
4830,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Otsuka (Tokyo),9,3LDK,70,2004,RC,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2010,Not yet,47000000
4831,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Otsuka (Tokyo),6,1LDK,40,2004,RC,House,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2010,Done,25000000
4832,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Otsuka (Tokyo),10,3LDK,55,1978,RC,House,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2010,Done,29000000
4833,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Otsuka (Tokyo),9,2DK+S,50,1978,SRC,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2010,Not yet,18000000
4834,Residential Land(Land and Building),Toshima Ward,Nishisugamo,Otsuka (Tokyo),7,Unknown,100,1999,RC,"House, Office, Warehouse",Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2010,Unknown,120000000
4835,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Otsuka (Tokyo),11,2LDK,65,2005,RC,House,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2010,Not yet,39000000
4836,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Otsuka (Tokyo),6,Unknown,40,2004,RC,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2010,Not yet,20000000
4837,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Kitaikebukuro,9,2LDK,55,1986,SRC,House,Commercial Zone,80.0,500.0,4th quarter 2010,Not yet,24000000
4838,Residential Land(Land and Building),Toshima Ward,Nishisugamo,Kitaikebukuro,10,Unknown,65,2010,W,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2010,Unknown,53000000
4839,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Kitaikebukuro,9,1DK,30,1986,SRC,House,Commercial Zone,80.0,500.0,2nd quarter 2010,Not yet,13000000
4840,Residential Land(Land and Building),Toshima Ward,Nishisugamo,Nishisugamo,6,Unknown,70,1975,W,House,Category I Residential Zone,60.0,300.0,4th quarter 2010,Unknown,18000000
4841,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Nishisugamo,9,1K,20,1999,RC,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2010,Not yet,14000000
4842,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Nishisugamo,1,2LDK,55,1999,SRC,House,Commercial Zone,80.0,500.0,4th quarter 2010,Not yet,33000000
4843,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Nishisugamo,8,3LDK,70,2007,RC,House,Commercial Zone,80.0,400.0,4th quarter 2010,Not yet,43000000
4844,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Nishisugamo,10,3LDK,70,2002,RC,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2010,Unknown,44000000
4845,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Nishisugamo,5,1K,25,2003,SRC,House,Commercial Zone,80.0,500.0,4th quarter 2010,Not yet,13000000
4846,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Nishisugamo,4,2DK,60,2009,RC,House,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2010,Unknown,46000000
4847,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Nishisugamo,4,2LDK,60,2009,RC,House,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2010,Not yet,45000000
4848,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Nishisugamo,4,1K,20,1989,RC,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2010,Not yet,7000000
4849,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Nishisugamo,1,1LDK,25,2000,SRC,House,Commercial Zone,80.0,500.0,1st quarter 2010,Not yet,18000000
4850,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Nishisugamo,4,1K,15,1989,RC,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2010,Done,6000000
4851,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Nishisugamo,4,1K,20,1989,RC,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2010,Done,6500000
4852,"Pre-owned Condominiums, etc.",Toshima Ward,Nishisugamo,Nishisugamo,8,3LDK,75,2002,RC,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2010,Not yet,50000000
4853,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,17,1R,20,1985,SRC,House,Commercial Zone,80.0,800.0,4th quarter 2010,Not yet,9000000
4854,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,7,1K,15,1981,SRC,House,Commercial Zone,80.0,800.0,4th quarter 2010,Done,7000000
4855,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,8,1K,15,1978,RC,House,Commercial Zone,80.0,700.0,4th quarter 2010,Not yet,7000000
4856,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,4,1K,20,1979,SRC,House,Commercial Zone,80.0,800.0,4th quarter 2010,Not yet,9000000
4857,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,4,1K,20,1978,SRC,House,Commercial Zone,80.0,800.0,4th quarter 2010,Not yet,11000000
4858,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,7,Open Floor,15,1984,S,Office,Commercial Zone,80.0,700.0,4th quarter 2010,Not yet,5700000
4859,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,6,1R,20,1980,SRC,House,Commercial Zone,80.0,800.0,3rd quarter 2010,Done,8300000
4860,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,7,1K,20,1981,RC,House,Commercial Zone,80.0,700.0,3rd quarter 2010,Not yet,7400000
4861,Residential Land(Land Only),Toshima Ward,Higashiikebukuro,Ikebukuro,9,Unknown,80,2002.0,Unknown,Other,Category I Residential Zone,50.0,400.0,2nd quarter 2010,Unknown,34000000
4862,Residential Land(Land Only),Toshima Ward,Higashiikebukuro,Ikebukuro,9,Unknown,80,2002.0,Unknown,Other,Category I Residential Zone,60.0,400.0,2nd quarter 2010,Unknown,46000000
4863,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,5,1K,20,2002.0,SRC,House,Commercial Zone,80.0,800.0,2nd quarter 2010,Done,8000000
4864,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,9,2LDK,45,1984,SRC,House,Commercial Zone,80.0,700.0,2nd quarter 2010,Done,26000000
4865,Residential Land(Land and Building),Toshima Ward,Higashiikebukuro,Ikebukuro,11,Unknown,120,1990,SRC,"House, Office, Other",Commercial Zone,80.0,600.0,1st quarter 2010,Unknown,260000000
4866,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,6,1DK,40,1980,SRC,House,Commercial Zone,80.0,700.0,1st quarter 2010,Done,23000000
4867,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,6,1K,25,1980,SRC,House,Commercial Zone,80.0,700.0,1st quarter 2010,Not yet,11000000
4868,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,8,1K,20,1984,SRC,House,Commercial Zone,80.0,800.0,1st quarter 2010,Done,8500000
4869,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,9,1DK,25,1984,SRC,House,Commercial Zone,80.0,700.0,1st quarter 2010,Not yet,9300000
4870,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,9,1DK,25,1984,SRC,House,Commercial Zone,80.0,700.0,1st quarter 2010,Not yet,14000000
4871,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Ikebukuro,8,1K,20,1978,SRC,House,Commercial Zone,80.0,700.0,1st quarter 2010,Done,7700000
4872,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Otsuka (Tokyo),10,1K,20,1999,RC,House,Neighborhood Commercial Zone,60.0,300.0,4th quarter 2010,Done,13000000
4873,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Otsuka (Tokyo),8,1K,20,2000,SRC,House,Commercial Zone,80.0,600.0,4th quarter 2010,Not yet,13000000
4874,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Otsuka (Tokyo),5,Unknown,20,2001,RC,House,Category I Residential Zone,60.0,400.0,4th quarter 2010,Unknown,15000000
4875,Residential Land(Land and Building),Toshima Ward,Higashiikebukuro,Otsuka (Tokyo),7,Unknown,70,1967,RC,House,Category I Residential Zone,60.0,400.0,3rd quarter 2010,Unknown,45000000
4876,Residential Land(Land and Building),Toshima Ward,Higashiikebukuro,Otsuka (Tokyo),10,Unknown,70,1953,W,House,Category I Residential Zone,60.0,400.0,3rd quarter 2010,Unknown,28000000
4877,Residential Land(Land and Building),Toshima Ward,Higashiikebukuro,Otsuka (Tokyo),10,Unknown,70,2002.0,Unknown,Other,Category I Residential Zone,60.0,400.0,3rd quarter 2010,Unknown,28000000
4878,Residential Land(Land Only),Toshima Ward,Higashiikebukuro,Otsuka (Tokyo),7,Unknown,160,2002.0,Unknown,Other,Commercial Zone,80.0,600.0,2nd quarter 2010,Unknown,77000000
4879,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Otsuka (Tokyo),8,1K,20,1985,SRC,House,Commercial Zone,80.0,800.0,2nd quarter 2010,Unknown,8300000
4880,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Otsuka (Tokyo),8,1K,20,1985,SRC,House,Commercial Zone,80.0,800.0,2nd quarter 2010,Unknown,8300000
4881,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Otsuka (Tokyo),6,2LDK,65,1991,SRC,House,Commercial Zone,80.0,500.0,2nd quarter 2010,Done,36000000
4882,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Otsuka (Tokyo),6,1LDK,45,1991,SRC,House,Commercial Zone,80.0,500.0,2nd quarter 2010,Not yet,20000000
4883,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Otsuka (Tokyo),7,1K,20,2000,SRC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Not yet,14000000
4884,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Otsuka (Tokyo),6,1LDK,50,1991,SRC,House,Commercial Zone,80.0,500.0,1st quarter 2010,Not yet,31000000
4885,Residential Land(Land and Building),Toshima Ward,Higashiikebukuro,Shin-otsuka,4,Unknown,30,1968,W,House,Quasi-industrial Zone,60.0,300.0,4th quarter 2010,Unknown,8000000
4886,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Shin-otsuka,2,3DK,45,1973,SRC,House,Commercial Zone,80.0,500.0,4th quarter 2010,Not yet,17000000
4887,Residential Land(Land Only),Toshima Ward,Higashiikebukuro,Shin-otsuka,6,Unknown,170,2002.0,Unknown,Other,Category I Residential Zone,60.0,300.0,2nd quarter 2010,Unknown,85000000
4888,Residential Land(Land and Building),Toshima Ward,Higashiikebukuro,Shin-otsuka,4,Unknown,75,2010,W,Housing Complex,Quasi-industrial Zone,60.0,300.0,2nd quarter 2010,Unknown,55000000
4889,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Shin-otsuka,3,1K,15,1982,SRC,House,Commercial Zone,80.0,500.0,2nd quarter 2010,Not yet,6000000
4890,Residential Land(Land Only),Toshima Ward,Higashiikebukuro,Shin-otsuka,4,Unknown,75,2002.0,Unknown,Other,Quasi-industrial Zone,60.0,300.0,1st quarter 2010,Unknown,25000000
4891,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Shin-otsuka,3,2DK,35,1982,SRC,House,Commercial Zone,80.0,500.0,1st quarter 2010,Done,21000000
4892,Residential Land(Land Only),Toshima Ward,Higashiikebukuro,Higashiikebukuro,4,Unknown,40,2002.0,Unknown,Other,Neighborhood Commercial Zone,80.0,400.0,4th quarter 2010,Unknown,24000000
4893,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,1,2LDK,60,2007,RC,House,Commercial Zone,80.0,600.0,4th quarter 2010,Not yet,60000000
4894,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,3,1K,25,1982,SRC,House,Commercial Zone,80.0,600.0,4th quarter 2010,Not yet,12000000
4895,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,3,2LDK,55,2011,RC,House,Commercial Zone,80.0,500.0,4th quarter 2010,Done,52000000
4896,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,3,1LDK,45,2011,RC,House,Commercial Zone,80.0,500.0,4th quarter 2010,Not yet,45000000
4897,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,2LDK,65,2011,RC,House,Commercial Zone,80.0,600.0,4th quarter 2010,Not yet,56000000
4898,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,1LDK,45,2011,RC,House,Commercial Zone,80.0,600.0,4th quarter 2010,Not yet,48000000
4899,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,3LDK,80,2011,RC,House,Commercial Zone,80.0,600.0,4th quarter 2010,Not yet,78000000
4900,Residential Land(Land Only),Toshima Ward,Higashiikebukuro,Higashiikebukuro,8,Unknown,60,2002.0,Unknown,Other,Category I Residential Zone,60.0,300.0,3rd quarter 2010,Unknown,27000000
4901,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,0,2LDK,60,2007,RC,House,Commercial Zone,80.0,600.0,3rd quarter 2010,Not yet,61000000
4902,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,3,1K,25,1982,SRC,House,Commercial Zone,80.0,600.0,3rd quarter 2010,Not yet,10000000
4903,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,1LDK,50,2011,RC,House,Commercial Zone,80.0,600.0,3rd quarter 2010,Not yet,45000000
4904,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,3,3LDK,80,2011,RC,House,Commercial Zone,80.0,500.0,3rd quarter 2010,Not yet,84000000
4905,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,3LDK,70,2011,RC,House,Commercial Zone,80.0,600.0,3rd quarter 2010,Not yet,65000000
4906,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,3LDK,70,2011,RC,House,Commercial Zone,80.0,600.0,3rd quarter 2010,Not yet,66000000
4907,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,3LDK,115,2011,RC,House,Commercial Zone,80.0,600.0,2nd quarter 2010,Not yet,150000000
4908,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,1LDK,35,2011,RC,House,Commercial Zone,80.0,600.0,2nd quarter 2010,Not yet,39000000
4909,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,3LDK,70,2011,RC,House,Commercial Zone,80.0,600.0,2nd quarter 2010,Not yet,69000000
4911,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,3LDK,70,2011,RC,House,Commercial Zone,80.0,600.0,2nd quarter 2010,Not yet,75000000
4912,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,1LDK,45,2011,RC,House,Commercial Zone,80.0,600.0,2nd quarter 2010,Not yet,46000000
4913,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,Unknown,80,2011,RC,House,Commercial Zone,80.0,600.0,2nd quarter 2010,Not yet,81000000
4914,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,3LDK,70,2011,RC,House,Commercial Zone,80.0,600.0,2nd quarter 2010,Not yet,73000000
4915,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,3LDK,75,2011,RC,House,Commercial Zone,80.0,600.0,2nd quarter 2010,Not yet,75000000
4916,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,2LDK,65,2011,RC,House,Commercial Zone,80.0,600.0,2nd quarter 2010,Not yet,65000000
4917,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,3,Open Floor,25,1982,SRC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Done,12000000
4918,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,3,Open Floor,25,1982,SRC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Done,12000000
4919,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,3,Open Floor,25,1982,SRC,Office,Commercial Zone,80.0,600.0,1st quarter 2010,Done,11000000
4920,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,1K,30,1982,SRC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Not yet,13000000
4921,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,3LDK,85,2011,RC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Not yet,84000000
4922,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,1LDK,35,2011,RC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Not yet,40000000
4923,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,3,1LDK,45,2011,RC,House,Commercial Zone,80.0,500.0,1st quarter 2010,Not yet,49000000
4924,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,2LDK,65,2011,RC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Not yet,61000000
4925,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,2LDK,65,2011,RC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Not yet,56000000
4926,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,3LDK,80,2011,RC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Not yet,72000000
4927,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,3LDK,85,2011,RC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Not yet,90000000
4928,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,2LDK,55,2011,RC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Not yet,54000000
4929,"Pre-owned Condominiums, etc.",Toshima Ward,Higashiikebukuro,Higashiikebukuro,2,3LDK,80,2011,RC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Unknown,84000000
4930,Residential Land(Land and Building),Toshima Ward,Minamiikebukuro,Ikebukuro,8,Unknown,75,2000,W,House,Category I Residential Zone,60.0,300.0,4th quarter 2010,Unknown,52000000
4931,"Pre-owned Condominiums, etc.",Toshima Ward,Minamiikebukuro,Ikebukuro,4,1K,30,1982,SRC,House,Commercial Zone,80.0,800.0,4th quarter 2010,Done,21000000
4932,"Pre-owned Condominiums, etc.",Toshima Ward,Minamiikebukuro,Ikebukuro,8,1K,15,1996,RC,House,Commercial Zone,80.0,600.0,4th quarter 2010,Not yet,12000000
4933,"Pre-owned Condominiums, etc.",Toshima Ward,Minamiikebukuro,Ikebukuro,9,1K,15,1996,SRC,House,Commercial Zone,80.0,600.0,3rd quarter 2010,Not yet,10000000
4934,"Pre-owned Condominiums, etc.",Toshima Ward,Minamiikebukuro,Ikebukuro,8,1K,20,2001,RC,House,Commercial Zone,80.0,400.0,3rd quarter 2010,Not yet,15000000
4935,Residential Land(Land Only),Toshima Ward,Minamiikebukuro,Ikebukuro,5,Unknown,370,2002.0,Unknown,Other,Commercial Zone,80.0,600.0,1st quarter 2010,Unknown,500000000
4936,Residential Land(Land Only),Toshima Ward,Minamiikebukuro,Ikebukuro,11,Unknown,70,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2010,Unknown,28000000
4937,"Pre-owned Condominiums, etc.",Toshima Ward,Minamiikebukuro,Ikebukuro,9,1K,20,1996,SRC,House,Commercial Zone,80.0,600.0,1st quarter 2010,Not yet,11000000
4938,"Pre-owned Condominiums, etc.",Toshima Ward,Minamiikebukuro,Higashiikebukuro,3,1K,20,1999,RC,House,Commercial Zone,80.0,500.0,4th quarter 2010,Not yet,13000000
4939,Residential Land(Land Only),Toshima Ward,Minamiikebukuro,Higashiikebukuro,3,Unknown,240,2002.0,Unknown,Other,Category I Residential Zone,60.0,300.0,3rd quarter 2010,Unknown,120000000
4940,Residential Land(Land and Building),Toshima Ward,Minamiikebukuro,Higashiikebukuro,5,Unknown,120,1991,RC,"House, Office, Shop",Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2010,Unknown,150000000
